num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
307,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,I,C,IC,3,0,1
308,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,I,I,II,4,0,1
309,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,V,C,VC,5,1,1
310,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,V,I,VI,6,0,0
311,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,I,C,IC,7,0,1
312,39,Psicología Experimental UNC 3°,Resolución Individual,21,F, ,I,I,II,8,0,1
313,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,V,C,VC,1,1,1
314,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,V,I,VI,2,0,0
315,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,I,C,IC,3,0,1
316,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,I,I,II,4,0,1
317,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,V,C,VC,5,1,1
318,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,V,I,VI,6,0,0
319,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,I,C,IC,7,1,0
320,40,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,I,I,II,8,0,1
321,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,V,C,VC,1,1,1
322,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,V,I,VI,2,1,1
323,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,I,C,IC,3,1,0
324,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,I,I,II,4,1,0
325,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,V,C,VC,5,1,1
326,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,V,I,VI,6,1,1
327,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,I,C,IC,7,1,0
328,41,Psicología Experimental UNC 3°,Resolución Individual,22,F, ,I,I,II,8,0,1
329,42,Psicología Experimental UNC 3°,Resolución Individual,20,F, ,V,C,VC,1,1,1
